,sepal_length,sepal_width,petal_length,petal_width,species,id
0,5.1,3.5,1.4,0.2,setosa,0
1,4.9,3.0,1.4,0.2,setosa,1
2,4.7,3.2,1.3,0.2,setosa,2
3,4.6,3.1,1.5,0.2,setosa,3
4,5.0,3.6,1.4,0.2,setosa,4
5,5.4,3.9,1.7,0.4,setosa,5
6,4.6,3.4,1.4,0.3,setosa,6
7,5.0,3.4,1.5,0.2,setosa,7
8,4.4,2.9,1.4,0.2,setosa,8
9,4.9,3.1,1.5,0.1,setosa,9
10,5.4,3.7,1.5,0.2,setosa,10
11,4.8,3.4,1.6,0.2,setosa,11
12,4.8,3.0,1.4,0.1,setosa,12
15,5.7,4.4,1.5,0.4,setosa,15
16,5.4,3.9,1.3,0.4,setosa,16
17,5.1,3.5,1.4,0.3,setosa,17
18,5.7,3.8,1.7,0.3,setosa,18
19,5.1,3.8,1.5,0.3,setosa,19
20,5.4,3.4,1.7,0.2,setosa,20
21,5.1,3.7,1.5,0.4,setosa,21
25,5.0,3.0,1.6,0.2,setosa,25
26,5.0,3.4,1.6,0.4,setosa,26
27,5.2,3.5,1.5,0.2,setosa,27
28,5.2,3.4,1.4,0.2,setosa,28
29,4.7,3.2,1.6,0.2,setosa,29
30,4.8,3.1,1.6,0.2,setosa,30
31,5.4,3.4,1.5,0.4,setosa,31
32,5.2,4.1,1.5,0.1,setosa,32
33,5.5,4.2,1.4,0.2,setosa,33
34,4.9,3.1,1.5,0.2,setosa,34
36,5.5,3.5,1.3,0.2,setosa,36
37,4.9,3.6,1.4,0.1,setosa,37
38,4.4,3.0,1.3,0.2,setosa,38
39,5.1,3.4,1.5,0.2,setosa,39
40,5.0,3.5,1.3,0.3,setosa,40
42,4.4,3.2,1.3,0.2,setosa,42
45,4.8,3.0,1.4,0.3,setosa,45
46,5.1,3.8,1.6,0.2,setosa,46
47,4.6,3.2,1.4,0.2,setosa,47
48,5.3,3.7,1.5,0.2,setosa,48
49,5.0,3.3,1.4,0.2,setosa,49
50,7.0,3.2,4.7,1.4,versicolor,50
51,6.4,3.2,4.5,1.5,versicolor,51
52,6.9,3.1,4.9,1.5,versicolor,52
53,5.5,2.3,4.0,1.3,versicolor,53
54,6.5,2.8,4.6,1.5,versicolor,54
55,5.7,2.8,4.5,1.3,versicolor,55
56,6.3,3.3,4.7,1.6,versicolor,56
57,4.9,2.4,3.3,1.0,versicolor,57
58,6.6,2.9,4.6,1.3,versicolor,58
59,5.2,2.7,3.9,1.4,versicolor,59
60,5.0,2.0,3.5,1.0,versicolor,60
61,5.9,3.0,4.2,1.5,versicolor,61
62,6.0,2.2,4.0,1.0,versicolor,62
63,6.1,2.9,4.7,1.4,versicolor,63
64,5.6,2.9,3.6,1.3,versicolor,64
65,6.7,3.1,4.4,1.4,versicolor,65
66,5.6,3.0,4.5,1.5,versicolor,66
67,5.8,2.7,4.1,1.0,versicolor,67
68,6.2,2.2,4.5,1.5,versicolor,68
69,5.6,2.5,3.9,1.1,versicolor,69
70,5.9,3.2,4.8,1.8,versicolor,70
71,6.1,2.8,4.0,1.3,versicolor,71
72,6.3,2.5,4.9,1.5,versicolor,72
